State,Year,Award
AK,2005,0.151262794
AK,2006,0.14134362099999997
AK,2007,0.129997901
AK,2008,0.18023727599999995
AK,2009,0.14661490999999993
AK,2010,0.1785563289999999
AK,2011,0.26952057799999996
AK,2012,0.185314825
AK,2013,0.17118973299999996
AK,2014,0.162812573
AK,2015,0.11928702499999992
AK,2016,0.12967469399999995
AK,2017,0.09056051999999996
AK,2018,0.078058069
AK,2019,0.117725353
AL,2005,9.779742462000002
AL,2006,6.354788119999995
AL,2007,13.837921428999993
AL,2008,14.606541165999989
AL,2009,14.228889624999987
AL,2010,14.817174698999992
AL,2011,14.738464964000002
AL,2012,16.339751806
AL,2013,16.293854900000003
AL,2014,13.200416063999999
AL,2015,14.709362581
AL,2016,11.954378689000006
AL,2017,12.687506293999997
AL,2018,12.482958808999992
AL,2019,10.745966901
AR,2005,0.010241845999999999
AR,2006,0.013718624
AR,2007,0.014591173999999998
AR,2008,0.011688032000000001
AR,2009,0.008162695
AR,2010,0.011866362000000002
AR,2011,0.012534742
AR,2012,0.014381733
AR,2013,0.012079534
AR,2014,0.00915396
AR,2015,0.013356854999999999
AR,2016,0.013661044999999998
AR,2017,0.012468196999999997
AR,2018,0.009374169000000002
AR,2019,0.012286371999999999
AZ,2005,1.4048167849999997
AZ,2006,0.7937094730000004
AZ,2007,0.8136459480000003
AZ,2008,0.845249177
AZ,2009,0.8513110469999999
AZ,2010,0.9493902399999987
AZ,2011,0.9746985689999992
AZ,2012,1.0262619949999994
AZ,2013,1.0618390329999992
AZ,2014,1.0531624019999994
AZ,2015,1.5884186549999995
AZ,2016,1.6323388989999992
AZ,2017,1.6743644449999997
AZ,2018,1.4998892949999991
AZ,2019,1.5354389609999994
CA,2005,34.246520236
CA,2006,35.614551963999894
CA,2007,35.356648553000014
CA,2008,40.67444963299987
CA,2009,36.47941923200006
CA,2010,39.75432863600003
CA,2011,39.02379085600004
CA,2012,46.80289003499992
CA,2013,48.77462522500001
CA,2014,37.51214242599995
CA,2015,39.862969002999854
CA,2016,43.318390480999994
CA,2017,39.83818496500004
CA,2018,51.777255476999855
CA,2019,48.44395592099992
CO,2005,3.9212041469999925
CO,2006,17.512292777000017
CO,2007,17.50497135000001
CO,2008,17.79998795600002
CO,2009,20.121554543000023
CO,2010,21.032184577000002
CO,2011,20.899138261000022
CO,2012,21.574273199000018
CO,2013,21.650815711000032
CO,2014,21.648869182000027
CO,2015,21.849094999000013
CO,2016,21.32138498600001
CO,2017,20.872451797000025
CO,2018,19.609804484000037
CO,2019,19.33301295600005
CT,2005,2.5260013729999997
CT,2006,2.532414069999999
CT,2007,2.8891586540000005
CT,2008,2.482461005
CT,2009,2.532475915000001
CT,2010,2.4987805470000013
CT,2011,2.4648157100000008
CT,2012,2.2539525090000003
CT,2013,0.7194964250000004
CT,2014,0.7231846730000002
CT,2015,0.7597552779999994
CT,2016,0.729076799
CT,2017,0.6717688060000007
CT,2018,0.162409644
CT,2019,0.13569407399999986
DC,2005,1.0354161669999993
DC,2006,1.3464565509999993
DC,2007,1.1303716280000007
DC,2008,0.8718283470000004
DC,2009,0.9765445070000001
DC,2010,0.818244253
DC,2011,0.8825398089999995
DC,2012,1.0113458849999997
DC,2013,0.914073628
DC,2014,0.643126413
DC,2015,0.8301728939999993
DC,2016,0.8205680249999996
DC,2017,0.8648530130000002
DC,2018,0.9674382840000004
DC,2019,0.7239251969999994
DE,2005,0.024515848000000003
DE,2006,0.026440396000000012
DE,2007,0.028785482000000005
DE,2008,0.02864658600000001
DE,2009,0.035258597
DE,2010,0.027579328
DE,2011,0.0304961
DE,2012,0.030749312
DE,2013,0.036328127
DE,2014,0.03253428300000001
DE,2015,0.043265930000000015
DE,2016,0.042156626000000016
DE,2017,0.04376193200000002
DE,2018,0.04701135400000001
DE,2019,0.042739194
FL,2005,9.427842260999975
FL,2006,8.702859714999985
FL,2007,8.793471520999997
FL,2008,10.843907556000001
FL,2009,10.863951278999998
FL,2010,10.907269255999998
FL,2011,11.021273884000008
FL,2012,10.690250279999999
FL,2013,12.285272803000007
FL,2014,11.301768303000003
FL,2015,10.375161255
FL,2016,10.446575167999999
FL,2017,12.042858611000003
FL,2018,8.059480212999992
FL,2019,8.186324782999993
GA,2005,0.19115103199999997
GA,2006,0.14873554800000002
GA,2007,0.153695784
GA,2008,0.158155111
GA,2009,0.16016037500000005
GA,2010,0.14809574300000003
GA,2011,0.14215290000000005
GA,2012,0.1496753220000001
GA,2013,0.12331718200000001
GA,2014,0.12708522199999994
GA,2015,0.14413444700000014
GA,2016,0.1355138250000001
GA,2017,0.12087332100000014
GA,2018,0.10793196200000009
GA,2019,0.09580650200000007
HI,2005,0.19403466700000002
HI,2006,0.10710743399999999
HI,2007,0.10324380600000002
HI,2008,0.15795106000000003
HI,2009,0.10736259500000003
HI,2010,0.10575902400000001
HI,2011,0.115179625
HI,2012,0.126347408
HI,2013,0.1500575
HI,2014,0.14687419999999998
HI,2015,0.133988904
HI,2016,0.12945522199999998
HI,2017,0.129868527
HI,2018,0.16949795100000006
HI,2019,0.144194089
IA,2005,0.047122573
IA,2006,0.044229133999999996
IA,2007,0.056920398000000025
IA,2008,0.06097076800000002
IA,2009,0.054886006000000015
IA,2010,0.05721851900000001
IA,2011,0.06293158100000003
IA,2012,0.04044833300000001
IA,2013,0.046490946000000005
IA,2014,0.051288385
IA,2015,0.05319429600000001
IA,2016,0.06021856899999998
IA,2017,0.052460551999999994
IA,2018,0.04736477900000001
IA,2019,0.04693622000000001
ID,2005,0.029823054
ID,2006,0.030063689999999997
ID,2007,0.027713754999999993
ID,2008,0.032102386
ID,2009,0.019950648999999997
ID,2010,0.025638001999999997
ID,2011,0.02486217399999999
ID,2012,0.023727337999999997
ID,2013,0.018388843000000002
ID,2014,0.020872256
ID,2015,0.025100334999999994
ID,2016,0.021164706000000002
ID,2017,0.021667418999999997
ID,2018,0.021328454
ID,2019,0.02198557200000001
IL,2005,0.10687059799999997
IL,2006,0.104185702
IL,2007,0.10203440299999998
IL,2008,0.11464025200000004
IL,2009,0.11067932699999998
IL,2010,0.11650094899999995
IL,2011,0.11341218299999994
IL,2012,0.11020529899999991
IL,2013,0.11204494199999997
IL,2014,0.11891322299999997
IL,2015,0.12568196999999998
IL,2016,0.136599738
IL,2017,0.14033948899999996
IL,2018,0.12336204800000002
IL,2019,0.12603718600000002
IN,2005,1.7528924040000005
IN,2006,1.7529206839999996
IN,2007,1.7542035240000002
IN,2008,1.730196023000001
IN,2009,1.695215516000001
IN,2010,2.575842867999999
IN,2011,2.5747399210000026
IN,2012,2.6083281340000015
IN,2013,2.3312171609999983
IN,2014,2.3350798389999983
IN,2015,2.488791430999999
IN,2016,2.4824521949999983
IN,2017,2.485587842000001
IN,2018,2.4913232190000025
IN,2019,2.508078477000001
KS,2005,0.021972743
KS,2006,0.019593244
KS,2007,0.016945051999999995
KS,2008,0.08594799400000003
KS,2009,0.015508266999999996
KS,2010,0.019157874999999998
KS,2011,0.023116838
KS,2012,0.024524886000000003
KS,2013,0.02864500300000001
KS,2014,0.028289062
KS,2015,0.023816096
KS,2016,0.030555138000000003
KS,2017,0.028192733
KS,2018,0.06289569199999999
KS,2019,0.05980071100000001
KY,2005,0.18059290100000003
KY,2006,0.181610435
KY,2007,0.027650956
KY,2008,0.026915156
KY,2009,0.020124585
KY,2010,0.02033943
KY,2011,0.022568139999999993
KY,2012,0.013470377999999998
KY,2013,0.01299325
KY,2014,0.010495870000000001
KY,2015,0.012893543000000002
KY,2016,0.024538753
KY,2017,0.025891962999999997
KY,2018,0.026941727999999995
KY,2019,0.029443428999999997
LA,2005,3.591019339999999
LA,2006,3.669732109
LA,2007,3.689439074
LA,2008,7.438484942000003
LA,2009,4.230889636000001
LA,2010,4.2388342759999995
LA,2011,7.391802675999999
LA,2012,3.8170394880000007
LA,2013,3.532642006
LA,2014,0.5898861209999997
LA,2015,0.5912106819999996
LA,2016,0.5924941669999997
LA,2017,0.587346774
LA,2018,0.021411863
LA,2019,0.04252632399999999
MA,2005,2.9075971709999973
MA,2006,3.0256430960000005
MA,2007,2.8222573399999997
MA,2008,2.8800093899999957
MA,2009,1.8071054720000006
MA,2010,1.8332498690000008
MA,2011,1.8920997159999993
MA,2012,2.812537559000001
MA,2013,1.7545393530000004
MA,2014,1.8485019560000011
MA,2015,2.8927976619999987
MA,2016,1.9364625920000005
MA,2017,1.8517806360000006
MA,2018,1.8104408570000006
MA,2019,1.8011637319999991
MD,2005,15.842744002000016
MD,2006,16.696342995
MD,2007,16.86331092500004
MD,2008,17.440848535000054
MD,2009,19.344479514000025
MD,2010,20.500139159999982
MD,2011,21.180524671999958
MD,2012,23.678475179999985
MD,2013,21.30403603299996
MD,2014,20.44477201399997
MD,2015,27.04211993200003
MD,2016,23.614292325999966
MD,2017,25.962892018999963
MD,2018,24.996570943999988
MD,2019,21.27619419000001
ME,2005,0.013346318999999997
ME,2006,0.015007124999999998
ME,2007,0.020013446
ME,2008,0.021596458000000002
ME,2009,0.019353523
ME,2010,0.022026189000000005
ME,2011,0.025046505000000004
ME,2012,0.022130720000000006
ME,2013,0.017750557
ME,2014,0.022176426000000006
ME,2015,0.02706284100000001
ME,2016,0.02880802800000001
ME,2017,0.03129916300000001
ME,2018,0.02984666100000001
ME,2019,0.02650815
MI,2005,0.10046716500000004
MI,2006,0.10757201900000005
MI,2007,0.10053875500000008
MI,2008,0.10132324100000004
MI,2009,0.102003459
MI,2010,0.109462812
MI,2011,0.12934382800000005
MI,2012,0.12272545900000002
MI,2013,0.23962278299999978
MI,2014,0.2327500129999999
MI,2015,0.2327263559999999
MI,2016,0.25386910199999985
MI,2017,0.2746488269999999
MI,2018,0.25930205800000006
MI,2019,0.2666310330000001
MN,2005,0.03820262700000001
MN,2006,0.043673153
MN,2007,0.045477293999999995
MN,2008,0.05333746599999999
MN,2009,0.05058344799999999
MN,2010,0.06165929800000002
MN,2011,0.06264816000000002
MN,2012,0.043251618000000006
MN,2013,0.04739138000000001
MN,2014,0.055327710000000016
MN,2015,0.057621510000000015
MN,2016,0.056734886000000026
MN,2017,0.058436896000000016
MN,2018,0.06068443000000001
MN,2019,0.05751192500000001
MO,2005,0.16424290299999988
MO,2006,0.15906270999999989
MO,2007,0.13746084800000005
MO,2008,0.15945938199999987
MO,2009,0.15893868700000002
MO,2010,0.1835767270000001
MO,2011,0.17403394699999994
MO,2012,0.17863784099999996
MO,2013,0.10696769400000002
MO,2014,0.150415574
MO,2015,0.14671074899999997
MO,2016,0.14849181800000005
MO,2017,0.16706086600000006
MO,2018,0.1825293470000001
MO,2019,0.17620050400000004
MS,2005,1.7308733030000005
MS,2006,1.9342477620000007
MS,2007,2.4932472310000007
MS,2008,2.428672277000001
MS,2009,2.6829180690000007
MS,2010,2.513733655000002
MS,2011,3.6251640650000008
MS,2012,3.134386896999998
MS,2013,2.9868774129999984
MS,2014,3.7425138619999982
MS,2015,2.931977557999998
MS,2016,3.9302431650000007
MS,2017,3.830653539000001
MS,2018,3.5452450230000006
MS,2019,3.489253317000001
MT,2005,0.072137424
MT,2006,0.061891183
MT,2007,0.051048973000000004
MT,2008,0.04718158599999999
MT,2009,0.038841922999999993
MT,2010,0.04144661200000001
MT,2011,0.04842584
MT,2012,0.04413029
MT,2013,0.038147425000000006
MT,2014,0.04778094
MT,2015,0.051677604000000016
MT,2016,0.060785140000000015
MT,2017,0.042931147
MT,2018,0.04696826200000001
MT,2019,0.049400254000000025
NC,2005,0.19178701399999998
NC,2006,0.17229242500000003
NC,2007,0.16463864399999995
NC,2008,0.16227452100000003
NC,2009,0.16505802900000013
NC,2010,0.09621758299999998
NC,2011,0.06193109499999996
NC,2012,0.06719163699999996
NC,2013,0.05944449799999997
NC,2014,0.05837849
NC,2015,0.061096241000000016
NC,2016,0.06493820599999997
NC,2017,0.07114078199999997
NC,2018,0.059815185
NC,2019,0.06245936799999999
ND,2005,0.031314251
ND,2006,0.034881031
ND,2007,0.03384316500000001
ND,2008,0.03340818400000001
ND,2009,0.034376754999999995
ND,2010,0.041252772
ND,2011,0.043287466999999996
ND,2012,0.037801635
ND,2013,0.018772148999999995
ND,2014,0.017278718000000005
ND,2015,0.018506304000000005
ND,2016,0.014659205
ND,2017,0.011214113000000001
ND,2018,0.010961335000000001
ND,2019,0.012253363
NE,2005,0.01365328
NE,2006,0.012785128
NE,2007,0.012504628
NE,2008,0.016297586000000003
NE,2009,0.013367647
NE,2010,0.020163892
NE,2011,0.021895393
NE,2012,0.019765527
NE,2013,0.015842036
NE,2014,0.017499102000000002
NE,2015,0.022727379000000002
NE,2016,0.018373794000000002
NE,2017,0.017593803
NE,2018,0.013304849999999998
NE,2019,0.013737846
NH,2005,0.12695867900000002
NH,2006,0.13884510899999997
NH,2007,0.11923245100000002
NH,2008,0.11494439200000009
NH,2009,0.10783381800000005
NH,2010,0.109579404
NH,2011,0.135013
NH,2012,0.13858975399999998
NH,2013,0.13895933700000007
NH,2014,0.13060123999999998
NH,2015,0.15273783999999999
NH,2016,0.15962449299999995
NH,2017,0.14391214099999985
NH,2018,0.16333806199999998
NH,2019,0.15824442300000002
NJ,2005,0.9085642499999993
NJ,2006,0.920061866999999
NJ,2007,0.9075787379999997
NJ,2008,0.9093498579999999
NJ,2009,0.9097715440000004
NJ,2010,0.8973636150000001
NJ,2011,0.09715352399999992
NJ,2012,0.08215558999999996
NJ,2013,0.07340540200000004
NJ,2014,0.07974194500000001
NJ,2015,0.07482439599999997
NJ,2016,0.08172574399999998
NJ,2017,0.09285315199999995
NJ,2018,0.10955981399999998
NJ,2019,0.09999491300000003
NM,2005,0.9777073439999999
NM,2006,1.5274081670000001
NM,2007,0.9402980930000001
NM,2008,1.3179117800000018
NM,2009,1.3154405510000005
NM,2010,1.3621909810000001
NM,2011,1.031457483999999
NM,2012,1.0248437859999995
NM,2013,1.025148936
NM,2014,1.0550349369999992
NM,2015,1.4246295689999995
NM,2016,0.8514777829999995
NM,2017,0.7461309299999994
NM,2018,0.49797755200000005
NM,2019,0.18850471000000005
NV,2005,0.023553763999999998
NV,2006,0.016000992000000006
NV,2007,0.016262849000000003
NV,2008,0.018175348000000004
NV,2009,0.013327453
NV,2010,0.01755421400000001
NV,2011,0.048588249
NV,2012,0.04566607500000001
NV,2013,0.06705031800000001
NV,2014,0.065546303
NV,2015,0.08212886099999998
NV,2016,0.082479267
NV,2017,0.05417040600000002
NV,2018,0.19644233099999997
NV,2019,0.15471321599999996
NY,2005,0.4054287949999998
NY,2006,0.4142886080000001
NY,2007,0.37857848999999993
NY,2008,0.4257223050000001
NY,2009,0.36966229500000003
NY,2010,0.33766638600000015
NY,2011,0.49883601700000013
NY,2012,0.4508655140000005
NY,2013,0.4744500300000002
NY,2014,0.48812438499999977
NY,2015,0.49537723599999967
NY,2016,0.48459333399999993
NY,2017,0.490862161
NY,2018,0.4970658990000003
NY,2019,0.6900203580000002
OH,2005,1.8415378529999997
OH,2006,2.2005527679999974
OH,2007,2.3562850279999994
OH,2008,2.761144256999997
OH,2009,2.83920147
OH,2010,2.9848907599999963
OH,2011,2.4941106730000016
OH,2012,2.479839439000001
OH,2013,2.589259488
OH,2014,2.530408440000002
OH,2015,2.3437355149999983
OH,2016,1.8785637409999998
OH,2017,1.7394977190000007
OH,2018,1.1905740439999999
OH,2019,1.053983691000001
OK,2005,0.08595569299999997
OK,2006,0.290106351
OK,2007,0.3044580179999999
OK,2008,0.30457273499999993
OK,2009,0.26173367999999997
OK,2010,0.06247477500000001
OK,2011,0.07566139199999998
OK,2012,0.07090791299999999
OK,2013,0.074139584
OK,2014,0.057173447
OK,2015,0.05545114300000001
OK,2016,0.051078335000000016
OK,2017,0.2451567629999999
OK,2018,0.23345155499999992
OK,2019,0.234812835
OR,2005,0.05702951900000002
OR,2006,0.05635929000000002
OR,2007,0.036603531
OR,2008,0.040385488000000025
OR,2009,0.037312036
OR,2010,0.055838532
OR,2011,0.043486394000000025
OR,2012,0.04525236600000004
OR,2013,0.048158721999999994
OR,2014,0.053308613000000026
OR,2015,0.065898161
OR,2016,0.06981962600000002
OR,2017,0.07197324499999999
OR,2018,0.070561462
OR,2019,0.06522247800000003
PA,2005,0.6348468709999997
PA,2006,0.621793479
PA,2007,0.22326155299999978
PA,2008,0.23751191899999988
PA,2009,0.25545567399999997
PA,2010,0.24989343300000008
PA,2011,0.245553721
PA,2012,0.2222659430000001
PA,2013,0.22981840000000012
PA,2014,0.22212540899999997
PA,2015,0.238275571
PA,2016,0.22696892299999988
PA,2017,0.24101448100000017
PA,2018,0.2579068600000002
PA,2019,0.28232441199999975
RI,2005,0.03225549699999998
RI,2006,0.032135065999999976
RI,2007,0.03229664999999998
RI,2008,0.030805125999999995
RI,2009,0.03457706700000001
RI,2010,0.03211635200000001
RI,2011,0.035537652
RI,2012,0.033217608
RI,2013,0.02444012699999999
RI,2014,0.027436153999999983
RI,2015,0.02968621699999999
RI,2016,0.02693123600000001
RI,2017,0.025886642
RI,2018,0.023621945
RI,2019,0.026363376000000004
SC,2005,0.042021634
SC,2006,0.03760066399999999
SC,2007,0.04245973299999999
SC,2008,0.03894151600000001
SC,2009,0.037837797999999985
SC,2010,0.032478012
SC,2011,0.022975467
SC,2012,0.020545234
SC,2013,0.021028753999999997
SC,2014,0.024443157
SC,2015,0.029590468000000005
SC,2016,0.028656173000000007
SC,2017,0.035032011999999994
SC,2018,0.034106745
SC,2019,0.038310801
SD,2005,0.01290867
SD,2006,0.012408533000000001
SD,2007,0.013835840999999998
SD,2008,0.018239198
SD,2009,0.020614909000000004
SD,2010,0.021824323000000003
SD,2011,0.025939714000000006
SD,2012,0.026900026000000004
SD,2013,0.033451769
SD,2014,0.032227515000000005
SD,2015,0.031116573999999994
SD,2016,0.031213141999999996
SD,2017,0.02877623899999999
SD,2018,0.023509814999999996
SD,2019,0.02116601799999999
TN,2005,0.195655455
TN,2006,0.35494400499999995
TN,2007,0.24404882100000014
TN,2008,0.21692885000000006
TN,2009,0.21692514399999993
TN,2010,0.25799236600000003
TN,2011,0.24738832400000013
TN,2012,0.23693502599999977
TN,2013,0.2243885279999999
TN,2014,0.2164267760000001
TN,2015,0.21566004500000002
TN,2016,0.21228993799999998
TN,2017,0.05431132100000001
TN,2018,0.059792859
TN,2019,0.04809176699999998
TX,2005,53.736722615000126
TX,2006,60.14038018200004
TX,2007,60.98292371900012
TX,2008,63.374340611000164
TX,2009,62.631677642000035
TX,2010,49.61948003500019
TX,2011,66.97575897300008
TX,2012,62.30430070700009
TX,2013,44.003391504000085
TX,2014,44.315271578
TX,2015,61.67067851800002
TX,2016,57.982220739000056
TX,2017,56.730024426000014
TX,2018,28.402377411
TX,2019,27.400746720000033
UT,2005,4.348502201999997
UT,2006,4.330282006000003
UT,2007,8.222107157000002
UT,2008,8.210629287999998
UT,2009,8.212301348999999
UT,2010,8.282713761999998
UT,2011,8.214813597999997
UT,2012,8.261467808999994
UT,2013,8.201349336
UT,2014,8.191976273
UT,2015,4.057125939999999
UT,2016,4.118778910999999
UT,2017,4.055908767999998
UT,2018,4.0114251629999975
UT,2019,4.011841956999999
VA,2005,32.151483040000045
VA,2006,32.082235417999996
VA,2007,32.651902815999975
VA,2008,32.552246608999965
VA,2009,32.724488692999984
VA,2010,33.23405185100006
VA,2011,33.73220551800002
VA,2012,33.459158027999976
VA,2013,5.956328140999993
VA,2014,33.35959453099999
VA,2015,6.43675024
VA,2016,5.954286101000002
VA,2017,6.386579130999999
VA,2018,6.1142923700000065
VA,2019,7.883385237000007
VT,2005,0.011395644
VT,2006,0.011288935
VT,2007,0.010581998
VT,2008,0.013588974999999996
VT,2009,0.012373596999999997
VT,2010,0.016554696
VT,2011,0.018174352
VT,2012,0.016448048000000003
VT,2013,0.014771719999999997
VT,2014,0.011504697999999999
VT,2015,0.012415797999999999
VT,2016,0.012842497
VT,2017,0.012142763999999997
VT,2018,0.009378909
VT,2019,0.009053539999999999
WA,2005,0.23639572300000014
WA,2006,0.204895784
WA,2007,0.21024498500000005
WA,2008,0.22976179099999985
WA,2009,0.21759229599999985
WA,2010,0.18273646799999999
WA,2011,0.18601379099999998
WA,2012,0.169736509
WA,2013,0.15397113900000003
WA,2014,0.16770695700000013
WA,2015,0.2100709750000003
WA,2016,0.34050444299999993
WA,2017,0.33372079599999993
WA,2018,0.345747276
WA,2019,0.33382014
WI,2005,0.08532500799999994
WI,2006,0.08055090499999996
WI,2007,0.09597335699999995
WI,2008,0.08155459799999999
WI,2009,0.08167429900000002
WI,2010,0.07428878899999995
WI,2011,0.09397288899999998
WI,2012,0.07123645100000002
WI,2013,0.08422496200000004
WI,2014,0.10594368300000005
WI,2015,0.126853502
WI,2016,0.11775122000000009
WI,2017,0.09754548800000008
WI,2018,0.09382202500000006
WI,2019,0.08993207200000002
WV,2005,0.8423555729999999
WV,2006,0.8116876430000002
WV,2007,0.630313052
WV,2008,0.5615680609999998
WV,2009,0.6856607750000001
WV,2010,0.5535652579999997
WV,2011,0.5389758069999998
WV,2012,0.6547924479999998
WV,2013,0.49354057500000004
WV,2014,0.28964910400000005
WV,2015,0.344918917
WV,2016,0.272032743
WV,2017,0.4005458280000001
WV,2018,0.604919881
WV,2019,0.49480599999999986
WY,2005,0.009396129000000001
WY,2006,0.008945268
WY,2007,0.011023658
WY,2008,0.008021114000000001
WY,2009,0.007443251
WY,2010,0.011422007
WY,2011,0.011927986
WY,2012,0.0106602
WY,2013,0.01180724
WY,2014,0.011240093000000001
WY,2015,0.013831336
WY,2016,0.014434861999999998
WY,2017,0.010780808999999999
WY,2018,0.010910177
WY,2019,0.010360465999999999
